 hw  Nmax Ebind rms-p rms-n rms-mass E2-E1
 01.00 02 0.835 7.028 6.835  6.933   1.624 
 02.00 02 0.260 4.225 4.176  4.201   2.253 
 03.00 02 -1.165 3.353 3.332  3.342   2.703 
 04.00 02 -3.023 2.887 2.875  2.881   3.010 
 05.00 02 -5.095 2.580 2.571  2.576   3.207 
 06.00 02 -7.245 2.356 2.349  2.353   3.325 
 07.00 02 -9.383 2.184 2.178  2.181   3.389 
 08.00 02 -11.445 2.046 2.041  2.044   3.421 
 09.00 02 -13.389 1.934 1.929  1.932   3.439 
 10.00 02 -15.184 1.841 1.836  1.839   3.464 
 11.00 02 -16.814 1.763 1.758  1.760   3.514 
 12.00 02 -18.268 1.697 1.692  1.694   3.606 
 13.00 02 -19.545 1.641 1.637  1.639   3.759 
 14.00 02 -20.648 1.594 1.590  1.592   3.992 
 15.00 02 -21.585 1.554 1.550  1.552   4.322 
 16.00 02 -22.369 1.522 1.517  1.520   4.770 
 17.00 02 -23.013 1.495 1.491  1.493   5.353 
 18.00 02 -23.535 1.473 1.469  1.471   6.090 
 19.00 02 -23.951 1.456 1.451  1.453   6.998 
 20.00 02 -24.279 1.442 1.437  1.440   8.091 
 22.00 02 -24.730 1.422 1.417  1.419   10.884 
 24.00 02 -24.993 1.407 1.403  1.405   14.539 
 26.00 02 -25.134 1.394 1.390  1.392   19.078 
 28.00 02 -25.187 1.380 1.376  1.378   24.481 
 30.00 02 -25.154 1.364 1.360  1.362   30.697 
 32.00 02 -25.029 1.346 1.343  1.344   37.659 
 34.00 02 -24.793 1.327 1.324  1.325   43.298 
 01.00 04 0.445 7.884 7.698  7.792   1.582 
 02.00 04 -0.788 4.522 4.475  4.499   2.084 
 03.00 04 -3.007 3.420 3.400  3.410   2.274 
 04.00 04 -5.661 2.871 2.858  2.864   2.254 
 05.00 04 -8.447 2.529 2.520  2.524   2.098 
 06.00 04 -11.187 2.290 2.283  2.287   1.862 
 07.00 04 -13.769 2.113 2.107  2.110   1.590 
 08.00 04 -16.126 1.976 1.971  1.973   1.317 
 09.00 04 -18.222 1.868 1.863  1.865   1.067 
 10.00 04 -20.040 1.781 1.776  1.778   0.862 
 11.00 04 -21.583 1.710 1.706  1.708   0.716 
 12.00 04 -22.866 1.654 1.649  1.651   0.643 
 13.00 04 -23.909 1.608 1.603  1.606   0.649 
 14.00 04 -24.743 1.571 1.567  1.569   0.740 
 15.00 04 -25.397 1.542 1.538  1.540   0.917 
 16.00 04 -25.902 1.519 1.515  1.517   1.178 
 17.00 04 -26.290 1.501 1.496  1.499   1.518 
 18.00 04 -26.587 1.487 1.482  1.484   1.933 
 19.00 04 -26.814 1.475 1.470  1.472   2.416 
 20.00 04 -26.990 1.465 1.460  1.462   2.960 
 22.00 04 -27.241 1.448 1.443  1.445   4.218 
 24.00 04 -27.404 1.433 1.428  1.431   5.687 
 26.00 04 -27.507 1.419 1.415  1.417   7.376 
 28.00 04 -27.560 1.406 1.402  1.404   9.312 
 30.00 04 -27.562 1.393 1.389  1.391   11.529 
 32.00 04 -27.514 1.381 1.377  1.379   14.065 
 34.00 04 -27.416 1.369 1.365  1.367   16.949 
 01.00 06 0.340 6.915 6.688  6.802   0.844 
 02.00 06 -1.625 3.871 3.839  3.855   0.859 
 03.00 06 -4.674 3.047 3.032  3.040   0.548 
 04.00 06 -8.055 2.596 2.587  2.592   0.010 
 05.00 06 -11.401 2.302 2.294  2.298   -0.640 
 06.00 06 -14.508 2.092 2.086  2.089   -1.321 
 07.00 06 -17.266 1.935 1.929  1.932   -1.975 
 08.00 06 -19.627 1.815 1.809  1.812   -2.563 
 09.00 06 -21.582 1.722 1.716  1.719   -3.058 
 10.00 06 -23.154 1.650 1.645  1.647   -3.442 
 11.00 06 -24.384 1.596 1.590  1.593   -3.703 
 12.00 06 -25.325 1.555 1.550  1.553   -3.835 
 13.00 06 -26.033 1.526 1.521  1.524   -3.837 
 14.00 06 -26.564 1.506 1.501  1.504   -3.714 
 15.00 06 -26.966 1.493 1.488  1.490   -3.478 
 16.00 06 -27.278 1.484 1.479  1.481   -3.142 
 17.00 06 -27.529 1.478 1.472  1.475   -2.724 
 18.00 06 -27.739 1.473 1.468  1.470   -2.238 
 19.00 06 -27.919 1.469 1.464  1.466   -1.702 
 20.00 06 -28.076 1.465 1.460  1.463   -1.125 
 22.00 06 -28.328 1.457 1.452  1.455   0.114 
 24.00 06 -28.502 1.448 1.443  1.446   1.437 
 26.00 06 -28.599 1.439 1.434  1.436   2.833 
 28.00 06 -28.628 1.429 1.425  1.427   4.307 
 30.00 06 -28.600 1.420 1.415  1.418   5.868 
 32.00 06 -28.527 1.411 1.406  1.408   7.529 
 34.00 06 -28.422 1.401 1.397  1.399   9.305 
 01.00 08 0.057 7.092 6.897  6.995   0.804 
 02.00 08 -2.654 3.712 3.685  3.698   0.658 
 03.00 08 -6.469 2.888 2.875  2.881   0.065 
 04.00 08 -10.456 2.451 2.443  2.447   -0.770 
 05.00 08 -14.188 2.170 2.163  2.166   -1.667 
 06.00 08 -17.458 1.971 1.966  1.968   -2.520 
 07.00 08 -20.180 1.826 1.821  1.824   -3.274 
 08.00 08 -22.350 1.719 1.713  1.716   -3.900 
 09.00 08 -24.015 1.640 1.634  1.637   -4.389 
 10.00 08 -25.248 1.583 1.577  1.580   -4.745 
 11.00 08 -26.140 1.543 1.538  1.540   -4.977 
 12.00 08 -26.778 1.516 1.511  1.514   -5.104 
 13.00 08 -27.239 1.499 1.493  1.496   -5.144 
 14.00 08 -27.582 1.487 1.482  1.484   -5.113 
 15.00 08 -27.847 1.479 1.473  1.476   -5.025 
 16.00 08 -28.060 1.472 1.467  1.470   -4.890 
